source,column,non_null_values,is_constant,numeric_min,numeric_max
Monday-WorkingHours.pcap_ISCX.csv, Destination Port,529918,False,0.0,65535.0
Monday-WorkingHours.pcap_ISCX.csv, Flow Duration,529918,False,-1.0,119999987.0
Monday-WorkingHours.pcap_ISCX.csv, Total Fwd Packets,529918,False,1.0,219759.0
Monday-WorkingHours.pcap_ISCX.csv, Total Backward Packets,529918,False,0.0,291922.0
Monday-WorkingHours.pcap_ISCX.csv,Total Length of Fwd Packets,529918,False,0.0,1323378.0
Monday-WorkingHours.pcap_ISCX.csv, Total Length of Bwd Packets,529918,False,0.0,655453030.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd Packet Length Max,529918,False,0.0,23360.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd Packet Length Min,529918,False,0.0,2293.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd Packet Length Mean,529918,False,0.0,4638.9234693878
Monday-WorkingHours.pcap_ISCX.csv, Fwd Packet Length Std,529918,False,0.0,7125.5968458437
Monday-WorkingHours.pcap_ISCX.csv,Bwd Packet Length Max,529918,False,0.0,13140.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd Packet Length Min,529918,False,0.0,2146.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd Packet Length Mean,529918,False,0.0,2976.3218390805
Monday-WorkingHours.pcap_ISCX.csv, Bwd Packet Length Std,529918,False,0.0,2728.5590214128
Monday-WorkingHours.pcap_ISCX.csv,Flow Bytes/s,529854,False,-12000000.0,2071000000.0
Monday-WorkingHours.pcap_ISCX.csv, Flow Packets/s,529918,False,-2000000.0,3000000.0
Monday-WorkingHours.pcap_ISCX.csv, Flow IAT Mean,529918,False,-1.0,119748208.0
Monday-WorkingHours.pcap_ISCX.csv, Flow IAT Std,529918,False,0.0,84800261.5664079
Monday-WorkingHours.pcap_ISCX.csv, Flow IAT Max,529918,False,-1.0,119999735.0
Monday-WorkingHours.pcap_ISCX.csv, Flow IAT Min,529918,False,-14.0,119748208.0
Monday-WorkingHours.pcap_ISCX.csv,Fwd IAT Total,529918,False,0.0,119999987.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd IAT Mean,529918,False,0.0,119987020.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd IAT Std,529918,False,0.0,84602929.2769822
Monday-WorkingHours.pcap_ISCX.csv, Fwd IAT Max,529918,False,0.0,119999869.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd IAT Min,529918,False,0.0,119987020.0
Monday-WorkingHours.pcap_ISCX.csv,Bwd IAT Total,529918,False,0.0,119999643.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd IAT Mean,529918,False,0.0,119974145.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd IAT Std,529918,False,0.0,84418013.7826341
Monday-WorkingHours.pcap_ISCX.csv, Bwd IAT Max,529918,False,0.0,119974145.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd IAT Min,529918,False,0.0,119974145.0
Monday-WorkingHours.pcap_ISCX.csv,Fwd PSH Flags,529918,False,0.0,1.0
Monday-WorkingHours.pcap_ISCX.csv, Bwd PSH Flags,529918,True,0.0,0.0
Monday-WorkingHours.pcap_ISCX.csv, Fwd URG Flags,529918,True,0.0,0.0
